participant_id	liming_nordic.specificity	liming_nordic.s1	liming_nordic.aca	roam_nordic.specificity	roam_nordic.s1	roam_nordic.aca	rabies_icaaroma_nordic.specificity	rabies_icaaroma_nordic.s1	rabies_icaaroma_nordic.aca	ednixgd_nordic.specificity	ednixgd_nordic.s1	ednixgd_nordic.aca	ednixgsr_nordic.specificity	ednixgsr_nordic.s1	ednixgsr_nordic.aca	zipp_nordic.specificity	zipp_nordic.s1	zipp_nordic.aca
sub-300902	specific	0.33377	-0.03885	specific	0.14812	0.07634	spurious	-0.00679	-0.13757	no	0.04	0.05325	specific	0.18337	0.02611	specific	0.36324	0.07124
sub-300903	spurious	0.28334	0.36919	non-specific	0.08634	0.12478	no	0.05506	-0.04092	no	0.04655	0.05004	no	0.06296	0.05871	spurious	0.38961	0.26205
sub-300904	spurious	0.85364	0.55451	spurious	0.64155	0.25203	spurious	0.7865	0.12193	spurious	0.54268	0.20755	spurious	0.54958	0.21005	spurious	0.63341	0.19847
sub-300905	spurious	0.81228	0.60564	spurious	0.69842	0.25646	specific	0.64103	-0.00236	spurious	0.68649	0.16972	spurious	0.68606	0.18585	spurious	0.74446	0.35799
sub-300906	spurious	0.70365	0.19269	specific	0.45843	0.00208	NA	NA	NA	specific	0.44665	0.0286	specific	0.43851	0.04971	specific	0.23128	0.07667
sub-300907	spurious	0.75466	0.7103	spurious	0.48384	0.11231	specific	0.47067	-0.02999	spurious	0.46737	0.10746	specific	0.47445	0.08901	spurious	0.56974	0.27207
sub-300908	spurious	0.65181	0.29247	specific	0.50571	0.00933	specific	0.49053	0.09676	spurious	0.37206	0.1592	spurious	0.38374	0.18686	spurious	0.71128	0.38793
sub-300909	spurious	0.41302	0.35107	specific	0.23213	0.09544	specific	0.13668	0.02618	no	-0.0126	-0.01314	no	-0.01743	-0.03366	spurious	0.46337	0.19314
sub-301000	spurious	0.75078	0.25624	spurious	0.77157	0.28962	specific	0.38999	-0.05487	specific	0.32459	-0.00096	specific	0.26089	-0.03406	spurious	0.88543	0.30706
sub-301001	spurious	0.72857	0.47385	spurious	0.60384	0.28573	spurious	0.43891	0.11495	spurious	0.15871	0.18686	specific	0.17494	0.06838	specific	0.81533	0.07935
sub-301002	spurious	0.68081	0.38694	spurious	0.62394	0.21838	specific	0.54713	0.09013	specific	0.27938	0.09458	spurious	0.2827	0.17237	spurious	0.77321	0.23256
sub-301003	spurious	0.83286	0.53165	spurious	0.79735	0.27886	spurious	0.5948	0.17988	spurious	0.51533	0.16319	spurious	0.5927	0.25062	spurious	0.86922	0.34045
sub-301004	spurious	0.61525	0.34864	specific	0.32052	0.03264	specific	0.27975	0.08921	spurious	0.87329	0.66138	spurious	0.87108	0.64588	NA	NA	NA
sub-301005	spurious	0.73964	0.36725	spurious	0.4852	0.22284	specific	0.46269	0.00488	spurious	0.38877	0.18859	spurious	0.41714	0.19614	spurious	0.76903	0.15988
sub-301006	spurious	0.65016	0.39748	spurious	0.49013	0.12696	specific	0.44816	0.01178	spurious	0.18181	0.12891	spurious	0.24999	0.13431	specific	0.82637	-0.0831
sub-301007	spurious	0.70261	0.42658	spurious	0.46189	0.17421	spurious	0.4124	0.16537	spurious	0.4336	0.17441	spurious	0.37669	0.14995	spurious	0.84367	0.31231
sub-301008	spurious	0.48477	0.55213	spurious	0.47129	0.13072	specific	0.42276	-0.01944	spurious	0.30318	0.28806	spurious	0.38874	0.26623	spurious	0.60525	0.33861
sub-301009	spurious	0.5331	0.55919	spurious	0.73784	0.11693	specific	0.47977	-0.01016	no	0.08314	0.01644	no	0.0869	0.01246	specific	0.80716	0.07159
sub-301100	specific	0.30276	-0.09853	specific	0.34349	0.0837	specific	0.1225	-0.0523	non-specific	0.09038	0.20496	non-specific	0.0851	0.21474	specific	0.57209	-0.01907
sub-301101	specific	0.5379	0.03355	specific	0.62986	0.08231	specific	0.53196	0.00919	specific	0.1244	0.04284	specific	0.15996	0.05397	specific	0.77338	-0.01721
sub-301102	specific	0.2322	0.09402	spurious	0.40171	0.16785	specific	0.2846	0.03751	specific	0.19581	0.01033	specific	0.19152	-0.00164	spurious	0.56292	0.19509
sub-301103	specific	0.3349	0.00575	specific	0.40196	0.09048	specific	0.25195	-0.12523	no	-0.01293	-0.00462	no	0.03718	0.00616	spurious	0.29074	0.18179
sub-301104	specific	0.61438	-0.13743	spurious	0.50381	0.10017	specific	0.46039	0.06208	specific	0.14348	0.09419	specific	0.19101	0.07189	specific	0.70515	0.07328
sub-301105	specific	0.38488	0.09198	specific	0.37798	0.05243	specific	0.2065	-0.03149	no	0.00809	0.03099	no	-0.00273	0.01388	specific	0.43194	-0.08165
sub-301106	specific	0.29908	-0.08595	specific	0.29533	0.02415	specific	0.20247	-0.08431	no	-0.00803	0.01912	no	-0.02336	0.04372	specific	0.62997	0.04873
sub-301107	specific	0.40684	-0.05267	specific	0.5475	0.08196	specific	0.36427	0.09285	specific	0.21139	0.05489	specific	0.21941	0.04616	specific	0.58463	-0.0133
sub-301108	specific	0.26844	0.07875	specific	0.57718	-0.07721	specific	0.38495	-0.03631	spurious	0.11393	0.17789	spurious	0.11634	0.1759	specific	0.67095	0.00552
sub-301109	spurious	0.446	0.12715	spurious	0.58878	0.18362	specific	0.2616	0.02627	specific	0.66956	0.09197	specific	0.64909	0.09216	specific	0.72405	0.01839
sub-301200	spurious	0.6708	0.12226	spurious	0.7822	0.25235	spurious	0.7177	0.10288	spurious	0.49652	0.10075	spurious	0.60657	0.20806	specific	0.82852	0.01555
sub-301201	spurious	0.7227	0.27799	spurious	0.70013	0.32039	spurious	0.70624	0.14117	spurious	0.65601	0.11259	spurious	0.65049	0.11085	spurious	0.67395	0.2541
sub-301202	specific	0.74382	0.01162	spurious	0.71275	0.26514	specific	0.51951	-0.01248	specific	0.50307	0.02154	specific	0.48166	0.0225	spurious	0.73025	0.17915
sub-301203	spurious	0.65405	0.29357	spurious	0.61992	0.15095	specific	0.60142	0.02599	specific	0.62432	0.05746	specific	0.64901	0.09579	spurious	0.69607	0.2728
sub-301204	specific	0.73999	-0.24952	spurious	0.71684	0.15494	specific	0.5973	0.01098	spurious	0.56673	0.32562	spurious	0.54682	0.33	spurious	0.74613	0.26244
sub-301205	specific	0.70492	-0.13459	spurious	0.80859	0.23947	spurious	0.76956	0.17423	spurious	0.65036	0.1374	spurious	0.70229	0.22965	specific	0.80365	0.08372
sub-301206	specific	0.38841	0.04189	spurious	0.70012	0.25473	specific	0.39772	-0.01612	specific	0.3846	0.04187	spurious	0.38518	0.10295	spurious	0.59565	0.10561
sub-301207	spurious	0.68129	0.44153	spurious	0.69684	0.36506	specific	0.6451	0.02441	specific	0.43211	0.02633	specific	0.51993	0.03966	specific	0.66691	0.09967
sub-301208	spurious	0.60357	0.14635	spurious	0.63677	0.19893	spurious	0.57565	0.15747	specific	0.51962	0.09274	spurious	0.6111	0.29812	spurious	0.75106	0.11805
sub-301209	specific	0.70914	0.04655	spurious	0.64286	0.44239	spurious	0.48387	0.22867	spurious	0.43056	0.2453	spurious	0.42595	0.22318	spurious	0.65483	0.2938
